MID|MERCHANT_DBA_NAME|MSO|SOURCE_CODE|WILAYAH|CHANNEL|TAHUN|BULAN
201175981|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175999|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176005|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176013|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176021|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176039|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176047|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176054|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176062|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176070|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176088|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176096|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176104|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176112|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176120|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176138|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176146|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176153|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176161|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176179|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176187|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176195|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176203|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176211|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176229|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176237|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176245|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176252|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176260|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176278|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176286|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176294|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176302|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176310|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176328|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176336|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176344|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176351|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176369|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176377|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176385|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176393|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176401|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176419|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176427|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176435|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176443|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176450|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176468|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176476|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176484|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176492|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176500|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176518|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176526|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176534|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176542|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201176559|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
